code UIC complet;libellé point d'arrêt;libellé;libellé STIF (info voyageurs);libellé SMS gare;nom gare;adresse;code INSEE commune;commune;X;Y;Guichet adapté PMR;Boucle magnétique;Portes automatiques d'accès au BV;Bandes d'éveil de vigilance ;CAB Passage Elargi Contrôlé (nombre);Nombre d'ascenceurs (1);Escaliers mécaniques (Nbre);Abris à vélos (Nombre) ;Gare non SNCF
87758334;NOISY LE GRAND MONT D'EST;NOISY LE GRAND MONT D'EST;GARE DE NOISY LE GRAND MONT D EST;;;;93051; Noisy-le-Grand;615511;2426978;;;;;;;;;1
87393876;NOISY LE ROI;NOISY LE ROI;GARE DE NOISY LE ROI;Noisy le roi;Noisy le Roi;Place de la gare 78590 Noisy le Roi;78455; Noisy-le-Roi;579842;2427058;1;1;1;1;Pas de CAB;1;;0;0
87113217;NOISY LE SEC;NOISY LE SEC;GARE DE NOISY LE SEC;Noisy le Sec;Noisy-le-Sec;Rue de la gare 93130 Noisy le sec;93053; Noisy-le-Sec;609055;2433165;1;1;1;1;Pas de CAB;6;;1;0
87681346;ORANGIS BOIS DE L'EPINE;ORANGIS BOIS DE L'EPINE;GARE D'ORANGIS BOIS DE L EPINE;Orangis Bois;Orangis-Bois-de-l'Epine;Avenue de la Résistance 91130 Ris Orangis;91521; Ris-Orangis;605255;2404187;1;1;1;1;2;0;;1;0
87393447;ORGERUS BEHOUST;ORGERUS BEHOUST;GARE D'ORGERUS BEHOUST;Orgerus Béh.;Orgerus-Béhoust;Rue de la Gare 78910 Orgerus;78465; Orgerus;553526;2425617;0;1;0;0;Pas de CAB;0;;0;0
87546200;ORLY VILLE;ORLY VILLE;GARE D'ORLY VILLE;Orly Ville;Orly-Ville;1, Place du 8 mai 45 94310   Orly ;94054; Orly;604876;2415924;0;1;0;0;Pas de CAB;0;;1;0
87271585;ORMOY VILLERS;ORMOY VILLERS;GARE D'ORMOY VILLERS;;;;60479; Ormoy-Villers;636584;2467126;;;;;;;;;0
87276279;ORRY LA VILLE COYE LA FORET;ORRY LA VILLE COYE LA FORET;GARE D'ORRY LA VILLE COYE LA FORET;Orry la V.;;;60482; Orry-la-Ville;611179;2460100;;;;;;;;;0
87758847;ORSAY VILLE;ORSAY VILLE;GARE D'ORSAY VILLE;;;;91471; Orsay;588634;2411027;;;;;;;;;1
87381145;OSNY;OSNY;GARE D'OSNY;Osny;Osny;Rue Aristide Briand 95520 Osny;95476; Osny;579607;2451680;0;0;0;0;Pas de CAB;0;;0;0
87116020;OZOIR LA FERRIERE;OZOIR LA FERRIERE;GARE D'OZOIR LA FERRIERE;Ozoir la F.;Ozoir-la-Ferrière;Avenue Raoul Nordling 77330 Ozoir la Ferriere;77350; Ozoir-la-Ferrière;625992;2419198;1;1;1;1;1;2;1;1;0
87758805;PALAISEAU;PALAISEAU;GARE DE PALAISEAU;;;;91477; Palaiseau;593374;2413260;;;;;;;;;1
87758813;PALAISEAU VILLEBON;PALAISEAU VILLEBON;GARE DE PALAISEAU VILLEBON;;;;91477; Palaiseau;592688;2412131;;;;;;;;;1
87113209;PANTIN;PANTIN;GARE DE PANTIN;Pantin;Pantin;Avenue de la gare 93500 Pantin;93055; Pantin;604688;2433279;0;1;1;1;Pas de CAB;0;;1;0
87758730;PARC DE SCEAUX;PARC DE SCEAUX;GARE DE PARC DE SCEAUX;;;;92002; Sceaux;598055;2419134;;;;;;;;;1
87271486;PARC DES EXPOSITIONS;PARC DES EXPOSITIONS;GARE DE PARC DES EXPOSITIONS;Parc Expo;Parc des Expositions;Avenue des Nations, 93420 Villepinte;93078; Villepinte;613017;2441735;1;1;0;1;Pas de CAB;3;2;0;0
87547026;PARIS AUSTERLITZ (GARE D'AUSTERLITZ);PARIS AUSTERLITZ;GARE D'AUSTERLITZ RER C;Paris Aust.;;;75113; Paris;602071;2427311;1;1;1;1;1;3;;0;0
87686667;PARIS BERCY (GARE DE BERCY);PARIS BERCY;GARE DE BERCY;;;;75112; Paris;603374;2426818;;;;;;;;;0
87113001;PARIS EST (GARE DE L'EST);PARIS EST;GARE DE L EST;;Paris Est;Place 11 Novembre 1918, 75010 Paris ;75110; Paris;601608;2430941;1;1;1;0;3;0;;0;0
87686030;PARIS GARE DE LYON;PARIS GARE DE LYON;GARE DE LYON RER D;Gare de Lyon;;;75112; Paris;602748;2427502;;;;;;;;;0
87391003;PARIS MONTPARNASSE (GARE MONTPARNASSE);PARIS MONTPARNASSE;GARE MONTPARNASSE;;Paris Montparnasse;Place Raoul Dautry;75114; Paris;598749;2426905;0;1;1;0;Pas de CAB;3;;0;0
87271031;PARIS NORD (GARE DU NORD);PARIS NORD;GARE DU NORD SURFACE;Gare du Nord;;;75110; Paris;601529;2431239;;;;;;;;;0
87384008;PARIS SAINT-LAZARE (GARE SAINT-LAZARE);PARIS SAINT-LAZARE;GARE ST LAZARE;;;;75109; Paris;599136;2430783;0;1;0;0;Pas de CAB;0;;0;0
87381012;PEREIRE LEVALLOIS;PEREIRE LEVALLOIS;PEREIRE LEVALLOIS;Pereire L.;Péreire-Levallois;4 bis, Place du Maréchal Juin  75017   Paris;75117; Paris;597190;2431908;0;1;0;1;2;2;1;0;0
87276469;PERSAN BEAUMONT;PERSAN BEAUMONT;GARE DE PERSAN BEAUMONT;Persan B.;Persan-Beaumont;Avenue de la Gare 95340 Persan;95487; Persan;595830;2461141;1;1;1;0;1;0;;1;0
87393504;PETIT JOUY LES LOGES;PETIT JOUY LES LOGES;GARE DE PETIT JOUY LES LOGES;Petit Jouy;Petit-Jouy-les-Loges;Chemin de Petit Jouy 78350   Les Loges-en-Jouy;78343; Les Loges-en-Josas;586027;2419124;0;1;0;0;Pas de CAB;0;;0;0
87393652;PETIT VAUX;PETIT VAUX;GARE DE PETIT VAUX;Petit-Vaux;Petit-Vaux;Rue du Petit Vaux  91360   Epinay-sur-Orge;91216; Epinay-sur-Orge;599818;2408616;0;0;0;0;Pas de CAB;0;;0;0
87271163;PIERREFITTE STAINS;PIERREFITTE STAINS;GARE DE PIERREFITTE STAINS;Pierrefitte;Pierrefitte-Stains;1 Place du Général Leclerc 93380 Pierrefite sur Seine;93059; Pierrefitte-sur-Seine;602614;2440660;1;1;1;1;Pas de CAB;0;;1;0
87276097;PIERRELAYE;PIERRELAYE;GARE DE PIERRELAYE;Pierrelaye;Pierrelaye;Place du 8 Mai 1945 95480 Pierrelaye;95488; Pierrelaye;586613;2446838;1;1;0;1;2;0;;0;0
87393421;PLAISIR GRIGNON;PLAISIR GRIGNON;GARE DE PLAISIR GRIGNON;Plaisir Gr.;Plaisir-Grignon;Place de la Gare 78610 Le Perray en Yvelines;78490; Plaisir;571109;2426002;0;1;1;1;1;0;;1;0
87393629;PLAISIR LES CLAYES;PLAISIR LES CLAYES;GARE DE PLAISIR LES CLAYES;Plaisir;Plaisir-les-Clayes;Rue des Vicomtes 78730 Plaisir;78490; Plaisir;572346;2425879;0;1;0;0;1;0;;1;0
87386573;POISSY;POISSY;GARE DE POISSY;Poissy-Talb.;Poissy;Place de la gare par l'Avenue Maurice Berteaux;78498; Poissy;578346;2437255;1;1;1;1;2;4;;1;0
87381111;PONT CARDINET;PONT CARDINET;PONT CARDINET;P. Cardinet;Pont-Cardinet;145 Rue Cardinet 75017 Paris;75117; Paris;598350;2432142;0;0;1;0;Pas de CAB;0;4;0;0
87393041;PONT DE L'ALMA;PONT DE L'ALMA;PONT DE L ALMA;Pt de l'Alma;Pont de l'Alma ;Place de la Résistance 75007   Paris;75107; Paris;597451;2429303; ;1;0;1;Pas de CAB;0;;0;0
87546192;PONT DE RUNGIS Aéroport d'Orly;PONT DE RUNGIS Aéroport d'Orly;GARE DE PONT DE RUNGIS;Pont de R;Pont-de-Rungis-Aéroport-d'Orly;Avenue du Docteur Marie 94150   Thiais ;94073; Thiais;602680;2416599;0;1;1;0;Pas de CAB;0;1;0;0
87393322;PONT DU GARIGLIANO - Hôpital Européen GeorgesPompidou;PONT DU GARIGLIANO - Hôpital Européen GeorgesPompidou;BOULEVARD VICTOR PONT DU GARIGLIANO;Bld Victor;Boulevard Victor;193, Quai André Citroën 75015 Paris;75115;  Paris;595159;2426711;1;1;0;1;1;2;2;0;0
