route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
959749,100,"80","(PORTE DE VERSAILLES <-> MAIRIE DU 18E - JULES JOFFRIN) - Retour",,3,,FFFFFF,000000
959834,100,"81","(CHATELET <-> PORTE DE SAINT-OUEN) - Aller",,3,,FFFFFF,000000
959835,100,"81","(CHATELET <-> PORTE DE SAINT-OUEN) - Retour",,3,,FFFFFF,000000
959572,100,"82","(LUXEMBOURG <-> HOPITAL AMERICAIN) - Aller",,3,,FFFFFF,000000
959573,100,"82","(LUXEMBOURG <-> HOPITAL AMERICAIN) - Retour",,3,,FFFFFF,000000
959602,100,"83","(FRIEDLAND - HAUSSMANN <-> PORTE D'IVRY) - Aller",,3,,FFFFFF,000000
959603,100,"83","(FRIEDLAND - HAUSSMANN <-> PORTE D'IVRY) - Retour",,3,,FFFFFF,000000
959262,100,"84","(PLACE DU PANTHEON <-> PORTE DE CHAMPERRET) - Aller",,3,,FFFFFF,000000
959263,100,"84","(PLACE DU PANTHEON <-> PORTE DE CHAMPERRET) - Retour",,3,,FFFFFF,000000
959914,100,"85","(LUXEMBOURG <-> MAIRIE DE SAINT-OUEN) - Aller",,3,,FFFFFF,000000
959915,100,"85","(LUXEMBOURG <-> MAIRIE DE SAINT-OUEN) - Retour",,3,,FFFFFF,000000
959916,100,"85","(HOTEL DE VILLE DE PARIS <-> MAIRIE DE SAINT-OUEN) - Aller",,3,,FFFFFF,000000
959917,100,"85","(HOTEL DE VILLE DE PARIS <-> MAIRIE DE SAINT-OUEN) - Retour",,3,,FFFFFF,000000
959476,100,"86","(SAINT-GERMAIN-DES-PRES <-> SAINT-MANDE - DEMI LUNE) - Aller",,3,,FFFFFF,000000
959477,100,"86","(SAINT-GERMAIN-DES-PRES <-> SAINT-MANDE - DEMI LUNE) - Retour",,3,,FFFFFF,000000
959574,100,"87","(CHAMP DE MARS <-> PORTE DE REUILLY) - Aller",,3,,FFFFFF,000000
959575,100,"87","(CHAMP DE MARS <-> PORTE DE REUILLY) - Retour",,3,,FFFFFF,000000
959232,100,"88","(MONTSOURIS-TOMBE ISSOIRE <-> HOPITAL EUROPEEN GEORGES POMPIDOU) - Aller",,3,,FFFFFF,000000
959233,100,"88","(MONTSOURIS-TOMBE ISSOIRE <-> HOPITAL EUROPEEN GEORGES POMPIDOU) - Retour",,3,,FFFFFF,000000
959466,100,"89","(PORTE DE FRANCE <-> GARE DE VANVES-MALAKOFF) - Aller",,3,,FFFFFF,000000
959467,100,"89","(PORTE DE FRANCE <-> GARE DE VANVES-MALAKOFF) - Retour",,3,,FFFFFF,000000
959244,100,"91","(MONTPARNASSE 2 - GARE TGV <-> BASTILLE) - Aller",,3,,FFFFFF,000000
959245,100,"91","(MONTPARNASSE 2 - GARE TGV <-> BASTILLE) - Retour",,3,,FFFFFF,000000
959576,100,"92","(GARE MONTPARNASSE <-> PORTE DE CHAMPERRET) - Aller",,3,,FFFFFF,000000
959577,100,"92","(GARE MONTPARNASSE <-> PORTE DE CHAMPERRET) - Retour",,3,,FFFFFF,000000
959652,100,"94","(GARE MONTPARNASSE <-> LOUISON BOBET) - Aller",,3,,FFFFFF,000000
959653,100,"94","(GARE MONTPARNASSE <-> LOUISON BOBET) - Retour",,3,,FFFFFF,000000
959654,100,"94","(GARE SAINT-LAZARE <-> LOUISON BOBET) - Aller",,3,,FFFFFF,000000
959655,100,"94","(GARE SAINT-LAZARE <-> LOUISON BOBET) - Retour",,3,,FFFFFF,000000
959610,100,"95","(PORTE DE VANVES <-> PORTE DE MONTMARTRE) - Aller",,3,,FFFFFF,000000
959611,100,"95","(PORTE DE VANVES <-> PORTE DE MONTMARTRE) - Retour",,3,,FFFFFF,000000
959356,100,"96","(GARE MONTPARNASSE <-> PORTE DES LILAS) - Aller",,3,,FFFFFF,000000
959357,100,"96","(GARE MONTPARNASSE <-> PORTE DES LILAS) - Retour",,3,,FFFFFF,000000
959578,100,"PC1","(PT DU GARIGLIANO - HOP G. POMPIDOU <-> PORTE DE CHAMPERRET) - Aller",,3,,FFFFFF,000000
959579,100,"PC1","(PT DU GARIGLIANO - HOP G. POMPIDOU <-> PORTE DE CHAMPERRET) - Retour",,3,,FFFFFF,000000
959222,100,"PC3","(PORTE MAILLOT - PERSHING <-> PORTE DE LA CHAPELLE-METRO) - Aller",,3,,FFFFFF,000000
959223,100,"PC3","(PORTE MAILLOT - PERSHING <-> PORTE DE LA CHAPELLE-METRO) - Retour",,3,,FFFFFF,000000
959268,100,"101","(JOINVILLE LE PONT-RER <-> CHAMPIGNY SUR MARNE-CAMPING) - Aller",,3,,FFFFFF,000000
959269,100,"101","(JOINVILLE LE PONT-RER <-> CHAMPIGNY SUR MARNE-CAMPING) - Retour",,3,,FFFFFF,000000
872215,100,"102","(PARTIEL <-> MAIRE DE MONTREUIL-METRO) - Aller",,3,,FFFFFF,000000
959358,100,"102","(GAMBETTA <-> BOIS-PERRIER-RER - ROSNY 2) - Aller",,3,,FFFFFF,000000
959359,100,"102","(GAMBETTA <-> BOIS-PERRIER-RER - ROSNY 2) - Retour",,3,,FFFFFF,000000
872278,100,"103","(ECOLE VETERINAIRE DE MAISONS-ALFORT) - Retour",,3,,FFFFFF,000000
872279,100,"103","(ECOLE VETERINAIRE DE MAISONS-ALFORT) - Retour",,3,,FFFFFF,000000
959762,100,"103","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> RUNGIS-MARCHE INTERNATIONAL) - Aller",,3,,FFFFFF,000000
959763,100,"103","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> RUNGIS-MARCHE INTERNATIONAL) - Retour",,3,,FFFFFF,000000
959764,100,"103","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> GEORGES HALGOULT) - Aller",,3,,FFFFFF,000000
959765,100,"103","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> GEORGES HALGOULT) - Retour",,3,,FFFFFF,000000
959766,100,"104","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> SUCY-BONNEUIL RER) - Aller",,3,,FFFFFF,000000
959767,100,"104","(ECOLE VETERINAIRE DE MAISONS-ALFORT <-> SUCY-BONNEUIL RER) - Retour",,3,,FFFFFF,000000
